Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,Year
,3.0,25.0,100.0,71.0,35.2,1.0,5.62,2009
,30.0,25.0,100.0,100.0,57.8,1.0,0.0,2009
,28.0,24.0,95.0,89.0,6.2,1.0,3.59,2009
,29.0,24.0,96.0,84.0,0.0,0.0,4.34,2009
,30.0,24.0,95.0,100.0,8.2,1.0,4.72,2009
,29.0,24.0,95.0,83.0,0.0,0.0,2.61,2009
,31.0,24.0,95.0,66.0,0.0,0.0,3.48,2009
,31.0,24.0,92.0,82.0,78.0,1.0,0.0,2009
,29.0,24.0,96.0,100.0,32.0,1.0,4.54,2009
,24.0,23.0,91.0,85.0,0.0,0.0,4.34,2009
,27.0,24.0,92.0,85.0,0.0,0.0,3.04,2009
,29.0,24.0,91.0,83.0,0.0,0.0,2.61,2009
,31.0,24.0,87.0,75.0,0.0,0.0,3.48,2009
,32.0,24.0,92.0,76.0,0.0,0.0,4.34,2009
,32.0,23.0,91.0,73.0,0.0,0.0,5.22,2009
,31.0,22.0,91.0,66.0,0.0,0.0,4.34,2009
,32.0,24.0,92.0,76.0,0.0,0.0,5.22,2009
,32.0,23.0,96.0,67.0,0.0,0.0,5.22,2009
,32.0,23.0,87.0,77.0,0.0,0.0,4.78,2009
,33.0,24.0,92.0,68.0,0.0,0.0,3.48,2009
,34.0,24.0,96.0,69.0,0.0,0.0,5.22,2009
,33.0,24.0,92.0,66.0,0.0,0.0,6.09,2009
,34.0,24.0,87.0,57.0,0.0,0.0,5.2,2009
,35.0,23.0,88.0,57.0,0.0,0.0,3.48,2009
,35.0,23.0,91.0,39.0,0.0,0.0,4.34,2009
,34.0,24.0,96.0,60.0,0.0,0.0,3.91,2009
,35.0,24.0,87.0,59.0,0.0,0.0,5.2,2009
,34.0,24.0,96.0,59.0,0.0,0.0,4.34,2009
,33.0,25.0,92.0,66.0,0.0,0.0,3.48,2009
,33.0,24.0,87.0,57.0,0.0,0.0,3.48,2009
,34.0,24.0,87.0,66.0,0.0,0.0,4.78,2009
,33.0,24.0,92.0,59.0,0.0,0.0,4.34,2009
,32.0,25.0,95.0,82.0,0.0,0.0,5.22,2009
,32.0,25.0,95.0,66.0,17.6,1.0,8.9,2009
,31.0,25.0,95.0,100.0,77.4,1.0,22.59,2009
,27.0,24.0,95.0,85.0,4.4,1.0,0.52,2009
,33.0,23.0,91.0,82.0,0.0,0.0,6.09,2009
,31.0,23.0,91.0,66.0,0.0,0.0,3.48,2009
,30.0,21.0,82.0,57.0,0.0,0.0,4.34,2009
,31.0,24.0,75.0,67.0,0.0,0.0,3.48,2009
,31.0,20.0,82.0,44.0,0.0,0.0,4.34,2009
,31.0,20.0,88.0,52.0,0.0,0.0,3.04,2009
,31.0,20.0,83.0,59.0,0.0,0.0,3.91,2009
,33.0,20.0,96.0,56.0,0.0,0.0,3.48,2009
,33.0,20.0,78.0,66.0,0.0,0.0,4.34,2009
,35.0,22.0,75.0,56.0,0.0,0.0,5.22,2009
